NUDOSS,NULIGN,SOCDOS,PGPDOS,CODLAN,CODCON,ANNEES,IDZYES,DATDEB,DATFIN,DEBACQ,FINACQ,ACQUIA,REPPRE,REPECR,REPSUI,PAYESS,DRTPRI,RESTAN,AJUST1,MOTIF1,AJUST2,MOTIF2,AJUST3,MOTIF3,AJUST4,MOTIF4,DTUPD1,MOTIR1,AMREP1,CPTCR1,DTUPD2,MOTIR2,AMREP2,CPTCR2,DTUPD3,MOTIR3,AMREP3,CPTCR3,AMREPT,POSBUL,IDGPRG,SOCCLE,MATRIC,NUDOSP,IDSITU,PERPAI,USAGEP,NUMTRT,NUMBUL,TIMEST,HHPRIS,JJREEL,HHREEL,HHREST,HHACQU,JJRELI,HHRELI,JFRACT,HFRACT,MODELR,REPELR,LIBELL
422,422,cjmB6Exz4sT0qgkEye,422,tMuMPOzAVL42YoLATe,uaG41labTzgqEmyTL0,10/6/2021,422,4/17/2022,4/13/2022,1/13/2022,6/12/2022,422,422,422,422,422,422,422,422,"",422,uKTwD6ybqilwYv9r4G,422,mPVluXcNmBp4VepvZn,422,eIJctk6kTIyGQb28NA,1/19/2022,1cbize5CiaBd3dWYGb,422,8V7AaDSvPFhFF9mS1T,9/10/2021,FWX4t1c5zpnIurYHAd,422,tsXQmWwJXnfmTn549l,3/25/2022,qblSdA5CQIReb2ETrz,422,5uj3Nbai2lmim9fGcp,422,"",422,"","",422,0BcYFGOanEm0hHFdbg,tSeReXfOKcNUMJXkg9,U5hRUBBPyu2lBgzd0R,e0J8b4hhIIgvFo1G2x,LJVyEWYuCxioCVKULV,6/3/2022,422,422,422,422,422,422,422,422,422,"","",""
423,423,w5ryG1h3IpXGspbHOn,423,cIazL630UdnTLc5dBy,9HhRYTEySCtasiLhEV,11/28/2021,423,10/1/2021,3/22/2022,5/16/2022,5/27/2022,423,423,423,423,423,423,423,423,"",423,RB2lzYQGyAxcGSqi0U,423,ltLPOxRVEZQNgcVi32,423,8FT9KacOzmmdhWphu2,3/9/2022,1fsZ1jdtdH4QqZzTKM,423,b1M1NOh7i5KAyJtUs2,3/12/2022,TmTQpOfuu3aMd6Kao7,423,uqHkPqsG3o168nEh9B,8/7/2021,XUCvpuRBKqx77DIvy3,423,tWjyEVpcvR12DwSo6Q,423,"",423,"","",423,7eNEIEKSNkORRuGsDX,eWaSC8mU8L39eBMvXo,Wi086N2TVZRwQ46p4L,MBHafgNCK2RnSRjUMj,9Cwow7l4NTySdkrJ1q,5/11/2022,423,423,423,423,423,423,423,423,423,"","",""
424,424,9zrxwpkCyVscQcNWO2,424,6eswbZ24O4PCAcj1Se,Av6rSz3stqwecxqnBy,12/16/2021,424,7/3/2022,3/10/2022,4/26/2022,5/23/2022,424,424,424,424,424,424,424,424,"",424,sk3gx5vU8EHXMGns8T,424,n0R45DJxou2YXu8w1O,424,r0Hm92ohsFLcG28z9r,7/30/2021,L1lN1pumdO5kTOQ6PM,424,PE4DtcLZK3l7C26YHC,4/10/2022,mnBe8GsHsFFksA7brF,424,jaOQoY2VP8Ynvq7u6v,10/31/2021,5YWDmxwwN7YTfEkVEc,424,9iURdCFzdGlhMeCbCL,424,"",424,"","",424,gWlvxbsE6DHPggxzof,rODH9yPJmxNQpb69FJ,JbmmHBusM4yQQrnHyd,vyCpKDK2diNZNNGOSV,7yIgCfglyAem3j7ixj,1/7/2022,424,424,424,424,424,424,424,424,424,"","",""
425,425,ZZlIoEoE3XcBBLvxeh,425,JW6xyqRfh8nZ7tSWTE,jpejqKyb0kLtjNQ81J,6/3/2022,425,2/1/2022,1/13/2022,11/30/2021,8/22/2021,425,425,425,425,425,425,425,425,"",425,9qDbGFGmyxtXY0nL6C,425,K2JZorcNyYtHwSTMva,425,MOVrkSkdNG4ggvaNVv,8/15/2021,jTB0js6x72dvo2LHq9,425,d6bV3rOqUoDAGpZ5E3,7/22/2021,VLW9KIbyEwGmtGN4LF,425,FNnVP2RHpwbC6W3yWG,3/19/2022,XCohgZSDDKA74Df9Uj,425,2EMC48CjXXq3VS2sol,425,"",425,"","",425,WxkXAWRTIWvf8XwsjC,Bav0kJwszTuq87mOU3,3bMeJ5TNo1cmjshWiT,bVkKon3C3Npl5IW3X3,V5tVz7Bvyq0Xknc2lz,3/13/2022,425,425,425,425,425,425,425,425,425,"","",""
426,426,T6RNxtk8hKYkw1wM7Z,426,gPBzkXgdbo5ZuKxwKC,3BL3xkigyJnU5cLm1m,12/21/2021,426,6/23/2022,4/3/2022,6/26/2022,1/21/2022,426,426,426,426,426,426,426,426,"",426,OYUWQ7ub839ASJxZyN,426,3G1SoTDAKnlLAUAnPQ,426,AhXBqM0n9Ywr3tDIry,7/17/2021,ORvauTPdpGhu9Qk6Dj,426,zVIc5WqlJmgT7Gqoey,9/29/2021,XxWv97lcpx3rjsn4Ly,426,3KQoKshdPmEPw6ekPb,11/3/2021,OJ0X8fbbEKKeCUDUTW,426,6aulHUYZ3pmVHvYF8D,426,"",426,"","",426,91yq1b30RKSEs7Xoyr,E43FGN0Rcskql80yEo,zhb6E51LcG6LYu6jVo,E8pDpMRgTcevcFftjZ,CR9XgoTcorVgnjAaH1,1/28/2022,426,426,426,426,426,426,426,426,426,"","",""
427,427,tPXvdF2IIabgTEH8FZ,427,JRH7qwHwYO7BxmCIxK,4SB4lBzDmPS4x8TiAA,6/20/2022,427,3/19/2022,10/29/2021,12/8/2021,8/1/2021,427,427,427,427,427,427,427,427,"",427,Kjl8bQSy3MYEa2zlEl,427,IHJPVw2gNr2cPjPsKT,427,Gv1DUQwgwlsFGsn5FX,11/25/2021,lSPjtbedpuf0JL7FzO,427,jmky5AyU5BRuxPkl5e,5/17/2022,w2YuqrOHsfZrFznh8w,427,VGnKwybyRUnU8yieDW,7/2/2022,bGI2g5eygYZf1mzry4,427,GXgpUVxPOMVTkKP9DC,427,"",427,"","",427,XPSdLAwSWihhJ8MNSP,OXlvhi3EmsDlPuahCN,HU0ct66HPuMJXy3S30,tqH6Br3R72y8Dbf3hm,03CVftR9d4dEsGgDdT,10/7/2021,427,427,427,427,427,427,427,427,427,"","",""
428,428,UWImlgmG7L2hbtBF8J,428,QIjl62iVz25qvgrGbm,RVwf9NkYZihaezuOCW,7/23/2021,428,10/8/2021,8/11/2021,4/29/2022,6/12/2022,428,428,428,428,428,428,428,428,"",428,NH5BAFe0vAZOJHpNr5,428,onhtIsQQq9oL37TzrJ,428,tLNaNAoJ7vZFSOU0j2,3/17/2022,Ge5Hb5JWkazgDPZ3ix,428,QL4yRzTG8Ckl3p6n47,2/7/2022,Nyn4f3xeVUp8YRY9p6,428,9R6v7xAJe7lG5vud3p,8/31/2021,nbdFVWFWjjBNbUHrfd,428,VfbNyE2gBzC5EEXQNw,428,"",428,"","",428,CMY3C1XojfrDWPLrEv,WTSZVjRKiBG5pJPWDF,D6G44oxWS5t5Ert2MK,Pr3WYdaj6fUMdvCMGx,V1Xec5mIUYyyfG7o9y,10/4/2021,428,428,428,428,428,428,428,428,428,"","",""
429,429,jgTGBmHoJkDTiLkk8h,429,FwHmN3pLl1CTFWo45Y,TWTxRQPzKE2H7lTYti,10/7/2021,429,7/28/2021,6/16/2022,4/29/2022,10/12/2021,429,429,429,429,429,429,429,429,"",429,Ngut0ecuiwu3V52eQK,429,9h3LhxtBdyj9xMz7Yb,429,a3ZUU6VpDxOaraLvER,1/22/2022,y4HnUmpbpc77zTVy0y,429,7dcOHYNXXPUOwr3TRB,5/9/2022,J3UVMXg2IM8mXv1I0m,429,KdcSzNGh7y1uvbuhcb,10/21/2021,cFRaKy2WuwEilrqGzS,429,PAAuXDbMVteGNBI9cT,429,"",429,"","",429,gfd4Dq3HJDMMYPDvcF,1Bk1VzV0OrMGTfHdYF,DrytxHwarWU4p4W41v,GGSYoLxIL3VrgWlOHv,GrMeP7RWjjaMkIwAv0,12/21/2021,429,429,429,429,429,429,429,429,429,"","",""
430,430,WhysYhG3Sck4TT9fic,430,DUC7VWpvw55MdKXIHB,QycMiE24JKeFuX6bfb,12/17/2021,430,12/14/2021,2/8/2022,7/12/2021,11/11/2021,430,430,430,430,430,430,430,430,"",430,EJ5XZyYjrQwYMycoQP,430,kQdGIePZXQY16A3kqF,430,nzIM2D4t0ZiG6H4CUM,5/26/2022,vsf3H7s6pzK3F1XApm,430,capNQlotWos5HfjeCh,1/1/2022,4C1kN4QZWRNmBCLZ1V,430,hYl8j2NIs3XyEhbC2m,10/25/2021,IdFsz8AlpnMnRxPYGl,430,pRgGRuOfiDxylOgTON,430,"",430,"","",430,wToG3M9cPmvlVyZM7y,JfJyfkHFY03crcfDJc,QrgPmTsQs8EJQzTJQx,4pFkPZB0zgUzED3BOg,biTKq3NxrlRqYr9ezG,1/14/2022,430,430,430,430,430,430,430,430,430,"","",""
431,431,WljwTf3nw7cIsN9wXA,431,VzqkL6Qte7EdPujfxC,WwIJ3dTnFtovVtHIRe,11/28/2021,431,10/9/2021,11/1/2021,2/5/2022,6/3/2022,431,431,431,431,431,431,431,431,"",431,MyamG9hyQvoJePUK4T,431,Z3z5YisSO59ZJeD8Oy,431,YxHLjvU4lmDM9ATseT,3/18/2022,pSRHgQp0Lqbrp6Rza9,431,1MlIethXjfAWXaCZFI,10/12/2021,qOkAFItq7byjdtqu2B,431,ScHJrh8MluYIJ2Sxrm,5/15/2022,V7vYzPfVq7qvJdZGxk,431,fCgVlSrONftACHwxfQ,431,"",431,"","",431,KbD0wzRuUevp3QGhZ5,bOz5VVFrEQ7lkcJZIx,Brj8YK9TyxcZbTPGAT,TvttFFSelRaLmdCmFa,qcvyxgTHFkN5YdEfOH,12/13/2021,431,431,431,431,431,431,431,431,431,"","",""
432,432,pOeoNXDDUbkmB1swMh,432,zRtrCyQL82n2sDUK0g,wZKAWxnc139qMIcgWW,9/21/2021,432,9/15/2021,8/21/2021,7/4/2022,9/18/2021,432,432,432,432,432,432,432,432,"",432,2PZ6AmzZk5wc98PI2v,432,hyTJBRHS6ki57jcAhg,432,BuOjAVtzVxpJulad7s,5/3/2022,EMkAnudm4ySZ3rs8Bn,432,Vhc6oDgVnTvR0bkbiu,2/13/2022,4NA6nowvkvOx74ow4h,432,LZuv2T0q2sCB0IVfAd,6/2/2022,xP61m98IM0sHGTZENk,432,ooAYmzdxY7MQPlJEky,432,"",432,"","",432,4PZcmNS3ftvOli3bkl,CdODiLxX9IQHVCXXLE,zHUwWTmTMJaOyilOEU,fHoXm1JK88euuKdco9,CLURZ6u8t0BFcq1p0x,2/13/2022,432,432,432,432,432,432,432,432,432,"","",""
433,433,2kfvOGC7cjiWBbCLd7,433,vt4x4ZcSHOBpofGbDo,wAv1u4tqSitSl4RWUm,7/21/2021,433,4/27/2022,4/16/2022,2/17/2022,1/19/2022,433,433,433,433,433,433,433,433,"",433,rlSeneZRhuYNBOVjM6,433,q9fT2bldqH1CqdNmZY,433,5qtxAD5tL9NC3qE7kA,6/9/2022,TZbeSzWjxPiJgQG0ri,433,bDnh5z54T7OB2FfLac,7/12/2021,0xoy7EvfQsu3N4v41N,433,t1zTZu9TlHpoBPdASG,8/27/2021,XbldkLaGRWE1YfgC67,433,sJnVQWLXJMgrGChl4a,433,"",433,"","",433,6wkARuyV7JmAnDc5nV,bcMeNU3qP2vVRKwoEu,hZYc4e00Qhv6YD7hOl,duV6lLhOx8RquFBHwq,ZgiJV8BNRrq7dpkf5p,3/26/2022,433,433,433,433,433,433,433,433,433,"","",""
434,434,rf7F1j7fF0NuaqqvPO,434,Tx0aMYjVMeDX8emkJ7,HjfaLvLaib7LmnJrtO,5/4/2022,434,12/8/2021,7/16/2021,1/23/2022,1/25/2022,434,434,434,434,434,434,434,434,"",434,IP2miBmst2OMTlujWl,434,x3KcsAjonM4TeHpCFZ,434,CHDnLoZGGwbZsaAwR2,1/21/2022,Hej12K2dx3xo09mYYU,434,6oKTAvTZkcMfE2Vx3r,5/6/2022,GolmBhSAqSXuWSFRhG,434,CTE1vjjTmtwxiT2Wd8,3/15/2022,rNqxfhhjrIK8OqWnQL,434,fuaLFtr2VsCZLc20nm,434,"",434,"","",434,TCLSjwIfJ18zdbnGKI,IJtDsZOGm1CRnnLDb9,iTjoq2fLrVlD9H3JGn,XKizeL83eiF17KU6Xa,1ywVrBOchd1M9wJIS5,1/25/2022,434,434,434,434,434,434,434,434,434,"","",""
435,435,x8rQzclrMlGfmCQFoz,435,O1CABFaXLhc9Pmd1fK,4pjeiVlzaBOLnKLThq,8/25/2021,435,1/29/2022,8/11/2021,11/4/2021,2/2/2022,435,435,435,435,435,435,435,435,"",435,P546f6ZtB3z1W0nqoI,435,6nIEhdzw0cm8GxdV3R,435,jmUIGtSmy8pUfSN4da,12/2/2021,c1kpPLyaMsT9Sl82Mr,435,dwBqEeHIz58NdLB3wc,7/24/2021,if9d9LX2spZZoY6Mzi,435,R0exVqNoso3SOtpdEs,3/31/2022,Z713BCTrIgCO0BuAYs,435,DMT8y4drBLzOZTmvAD,435,"",435,"","",435,wCKbb67aJtrX3JwErG,72PeZYLeJWNRUKbikk,GFKJngObbLB6LSD2OF,Hk2GZTyb7wvYwxXeWC,bBMpPy0swXdJQlDzAL,11/27/2021,435,435,435,435,435,435,435,435,435,"","",""
436,436,TIicZy1PmuY6InkxHA,436,cuKHL5pdmPTVChETCt,CFMhS5WoXidsZlL2hi,1/27/2022,436,1/28/2022,3/17/2022,11/24/2021,6/27/2022,436,436,436,436,436,436,436,436,"",436,PSv229mh2908G4GJKD,436,XCHyfEgOgPGUhiK35D,436,Htzy1IJjL0GUaw5vIB,2/14/2022,QvjoMtzJOyN1hdAqpb,436,3ShmQhmQqIPfXPRMbt,5/7/2022,BcZtK7nEqyxsUiskxr,436,JpvXnUof3MH7VWNDq9,7/27/2021,XLP2o8znOCxBJe10Iv,436,G6iCmZg6TUAM87aSuZ,436,"",436,"","",436,Y7UpykbiFZPMr87Ate,SkK30LQ3qLqbU07tsX,oo7Vdx5qURUTT1fVZX,Fq5WKanHazT5LiMtLj,M9hfJI6vdVnGhl6gbv,3/16/2022,436,436,436,436,436,436,436,436,436,"","",""
437,437,DzExHxCGuxz17sk4lK,437,J435iuJ2GX9h4UGBeQ,GXyC5JnV05JO0qvzf7,9/19/2021,437,9/21/2021,5/14/2022,8/15/2021,12/18/2021,437,437,437,437,437,437,437,437,"",437,NExEkqveTDxFiZT88K,437,rVLG6fQN7bHYSEHJ4J,437,VYdnovNdFcs1I0dqIe,6/27/2022,Y80wrLCMXG3Hynikoh,437,0bBr4Em5mGbSNnL47W,7/20/2021,2qd9U6SNj7UCym31zA,437,xhhnQmgzYShpytSiXh,11/12/2021,n7cteOgK3VFEI4pNIg,437,8gChjfr7NaZnQ06YWB,437,"",437,"","",437,us4V0aAuVdiADLTDFg,9OZcQe2A7cd2FZam2f,UKemtWZlwucosLxCWc,RpJUdQsx1H2adBYfKN,Uq9TVg7uDIfkZSH2Fp,10/4/2021,437,437,437,437,437,437,437,437,437,"","",""
438,438,fr3KZ36OuA6cZrFJpx,438,TZuYnIdh0M3BRtWATB,f9bIUSswbf6v4ihOZc,7/30/2021,438,6/20/2022,5/31/2022,11/27/2021,5/18/2022,438,438,438,438,438,438,438,438,"",438,fiVOgX1Ygp8D97U8nL,438,YzWVahLfvMlC5qejUy,438,tkCT1a8knm7cpfsYbT,1/15/2022,rEEWIFBLymLbSCgTeZ,438,mf1J1KDmd2OZwH8kMz,2/24/2022,WJcmQd4yLzLrHXdO4V,438,geBjrbmH3eospK1uch,8/23/2021,JfBWFJ6kN0zL1atAPK,438,U6JrwQNTnMT6mpz0Af,438,"",438,"","",438,tnOGI3CdGwnNAwwBsk,7XHOnWHHfzQUTKznUW,Y0DBBqqAVmxO1DsXOw,xIM1HzfjtkPXCCQe76,9WfIRcKyMG8vhft6dA,5/8/2022,438,438,438,438,438,438,438,438,438,"","",""
439,439,s2IhZbblWtR2WijPEE,439,qnz8nGr4VXAD39cw8u,S2dIJryz1Q5JcGxaaS,11/13/2021,439,8/20/2021,8/19/2021,12/8/2021,11/13/2021,439,439,439,439,439,439,439,439,"",439,PzkewCzCaC7EJR5txB,439,8FQP9QgMVGwHIpZqKR,439,yRL3KgWu6oHlxPFYup,8/30/2021,z4Xy0j6uvl9z53z6lf,439,C7EP5lcEvHEisHOdi1,1/12/2022,tUJfbicFHhaMLz3LDm,439,HBrwiqH03OAabjFtyZ,6/29/2022,wPOZ0cFyyUx3te32XA,439,itSDhHjmdLQjfbyuzU,439,"",439,"","",439,0gJ9i5JhITQFmkJlT6,s6WkFQkKWHKneTCDCi,ke3zjbL0ttjfeTRHed,kz4OpcJxJy30tMzJru,8TLv2qOsJBg4ZR3tgG,5/31/2022,439,439,439,439,439,439,439,439,439,"","",""
440,440,SEUvz9B3VD2kDvvT48,440,2AwtaaNZ83T0CLFScK,Hg4tN1DddNznvpjgXB,1/2/2022,440,1/23/2022,10/17/2021,10/25/2021,10/28/2021,440,440,440,440,440,440,440,440,"",440,oM1bmtuvGayBwIIS2q,440,PhKyRSyh9Ec2qPc3BL,440,C0jiR58WHpshc6fk2U,3/9/2022,sgDjSLlJc2tHd9gDUO,440,9NbZfSEQ0dNiuX1h2A,4/14/2022,ZC0Ebb3eQpbsQvScpS,440,Sc3YhoItARvDQuWY2h,10/18/2021,qh5RcpZcYBZyGSU5nU,440,YZgfaQj3MJWB2XCe8R,440,"",440,"","",440,RBV9KzczQD51Euf5c7,NqTGLDEYItryPUAAkr,Gz4ikTtAXz8GxpsANj,c7NkEAK4nEQcpx77mr,gyrDJtbKoaCUGS8Hmd,6/28/2022,440,440,440,440,440,440,440,440,440,"","",""
441,441,rSalGauIO6CsGXA0XY,441,0t3Ht3bIgTpJBz31ML,FeXd4HGdD3Zin3m2ud,12/18/2021,441,6/3/2022,6/28/2022,3/7/2022,5/21/2022,441,441,441,441,441,441,441,441,"",441,DXSqcTSFbIgtTS5JO2,441,JkrEneyL8Yvn0Iq5vs,441,k1SSmgCkUuwvPGvptT,3/12/2022,aOZUuMeBiF3IPKiJgO,441,03fqHayRUF0G5BFG3o,4/14/2022,DLT3SKPLfG5AIKsuE3,441,CxAge4f7scFnU5Ab0o,6/4/2022,8NfELmg4Z5D9WiLKdC,441,zDFuVV7bhnZLLe6DCP,441,"",441,"","",441,xSgAjWVvDTpcTpitJr,PGeEKc5pGXzg6DzRmy,A1NIOW0eKhcS0qwAov,YuCcm4bqCpVGKTxDPA,TcD809gjNOtlPaoFkJ,6/25/2022,441,441,441,441,441,441,441,441,441,"","",""
442,442,wnoFNjvqHH6FABglj8,442,ojCQEy0aWoqfyoUytS,L9dYMI7C8WAWvzPN0D,12/9/2021,442,5/3/2022,7/7/2022,6/8/2022,5/13/2022,442,442,442,442,442,442,442,442,"",442,BFdyvkAhGfO9TD5Exl,442,fd3B9kYy7GUxDnZgEw,442,yyH9etNyh1Y3AYRhuT,6/17/2022,qeBFsrXomQWvmilBaN,442,2tzzXHsq7TTzkb5Gh7,6/6/2022,qDvsR722I8v9p4Qcu1,442,C3WReBXgqTAUxjJuYv,1/31/2022,bbaZ7SCDnhBI7EmtEq,442,Uhv7bJOvSPe287C4yD,442,"",442,"","",442,62CCAvxeP6fR9YdAOu,yIpYfldkl8L1o8cvfp,PCKD1HNKlm5IxBggF8,en4gXKx3gkIYKlPfO2,tKn2gA0zejO3ioFb6P,1/9/2022,442,442,442,442,442,442,442,442,442,"","",""
443,443,z2EqvcR7qoNRXigVqb,443,RVFdV9P5I1zuyP7MLX,g8J3fSanmREe6126uj,3/24/2022,443,9/8/2021,3/27/2022,1/21/2022,7/3/2022,443,443,443,443,443,443,443,443,"",443,dUxH2o9VMROL0HEGGs,443,OtGdaE5nkU8WPd7cEM,443,UWhpetZzbZUNZeN2B5,5/29/2022,QAkjhhcEwz4sQZTaAt,443,rlOyxQONu6iKQncuKs,2/14/2022,AjXFbJidGCnh6YUs9u,443,XSMqRdUjCS9eCNjoGw,5/7/2022,Jfx1yf67Eb6wvw1LfR,443,zqeLAbbF6SFsHJTyoG,443,"",443,"","",443,c5nM3KPhBEPVZOJuBc,zU0J3j3DUHgikjOQ2O,9w6TJYFtBJGtlzgmLi,YjxacfESwIRBfudfVd,dSA8sv2rC7KQ2cz5o1,2/1/2022,443,443,443,443,443,443,443,443,443,"","",""
444,444,ckGU8oNPrD9CfGtsjZ,444,TmPVhuZuMXR5qo7ERo,SEmL5SpalsAtT9owwD,12/29/2021,444,9/22/2021,4/2/2022,11/7/2021,12/7/2021,444,444,444,444,444,444,444,444,"",444,q39Lcxg2R0IVjaf1GX,444,UmRQEDz73ZAsltmbPq,444,k60k9lrpWZ0dOyByFd,11/7/2021,e5sKprm0B6wYNed7Sd,444,EJugYiYb3OmveYg7RR,1/3/2022,pVkJ5SVvMa4sK0vnQf,444,RX7BnEcvMyTKZ0XZct,5/14/2022,B5eJ5iUhjOo6iACppX,444,wlMlAsIgnCJLocXtTg,444,"",444,"","",444,n652d1rS4VxfXbvN85,aDGC9ziBmjhCyYRKAX,UdQU2mDSH9WppHyPZV,wtab0Fs55yPdU6k7H9,RUtwubWPBNfWFjRvff,12/9/2021,444,444,444,444,444,444,444,444,444,"","",""
445,445,E3zvNNi6Bc6C8OrBxj,445,ctBhNmxk2kU8K5vL8y,BAjxwsoH7DpsyggKlZ,11/17/2021,445,3/22/2022,11/24/2021,4/25/2022,9/15/2021,445,445,445,445,445,445,445,445,"",445,FBfJx3PwEF0co87q1W,445,kOA3vYtsH63TBeJM6s,445,6u5KNmy7HLFb3FnxTQ,1/14/2022,5aBVo9GVFkbsr3lT7f,445,DdMbNJQ7OZa5P1TlT0,1/21/2022,XbVbZJqZ4qFY46vWRw,445,J0AS7IP9p4HgbBsaFb,3/12/2022,EcCZzlpjH1pJq5BQEE,445,PMwI4ret3tCw2JdaLC,445,"",445,"","",445,EBa7KYhDsXW5bUHin5,IBOBqE0sbaEYIIz7ev,t6rPSzzk7ARPg3jymw,p1EBPK6iwlJ8rluWwe,RoiaWFEDgp5C1Bzryu,12/19/2021,445,445,445,445,445,445,445,445,445,"","",""
446,446,Ine5KLVweJrhoRXBIo,446,DRnVQHfD1Kc2Xi4JCX,e4m2Bh21CAAmugUPlB,1/14/2022,446,11/3/2021,9/8/2021,10/21/2021,12/5/2021,446,446,446,446,446,446,446,446,"",446,G5YNgvL1MDleanBOlt,446,uB40tYltIUzO5lRBBK,446,b2AL2zYdJgwc29UGAX,12/31/2021,DxEzgX5HQRf0FaPRiq,446,o87AXywi5zarpXYMm8,3/9/2022,mV7d7PVCQer5rdgNaD,446,qpNywVmt24VmKxLNAm,2/28/2022,1Fvh0lDqx2oHN3bNke,446,cuVLzeF63FIF9ajCSu,446,"",446,"","",446,rVjGwOqWIvvZPEJXg8,HF0RemjSde3xPv119O,7z3NWN3IA8617YCvSZ,4oKsPGLQjbK63L2CDf,oyFBETjS5K9HgTNbmp,2/26/2022,446,446,446,446,446,446,446,446,446,"","",""
447,447,3sDwWzd8rk8uugrev6,447,nLuq6UY1d2E9GuHXo2,fTSoctef58vLRkxMZg,6/24/2022,447,10/11/2021,5/22/2022,4/16/2022,12/2/2021,447,447,447,447,447,447,447,447,"",447,rLRzU6hHhGsMGGkwn9,447,coOPsxFWCD22SLec6P,447,MOjRiX35UMNthR7HqS,4/4/2022,mWSfJ3SZ6RW7AlcwKH,447,8jIk84CqXucoBQfSN0,12/17/2021,ltPW0y5ZJZIYr0qeMF,447,pYpQCpHOe8GFE7hxRS,7/14/2021,kjVBzixxsrS51YyxqY,447,mQiThcw6UbFs2m0N3X,447,"",447,"","",447,MuOlhHRzs4fCowayxq,bbZa93hwWtAN2mxqHE,BjMqFamEi6RFSj2wyF,HCgCuVBhFi5JKorBnh,rBKGLFdKr09uXjCBx2,11/24/2021,447,447,447,447,447,447,447,447,447,"","",""
448,448,JpyQgqCijKock2HIie,448,uVBHvpTgPBFnTpNloY,W5kofO2Rm8lIOQWfRe,5/3/2022,448,10/24/2021,10/29/2021,7/12/2021,12/17/2021,448,448,448,448,448,448,448,448,"",448,2JBFgcNm76TM2fEYgK,448,CbwQZwgzOTDylyaUKp,448,RNMdY3A8QGzUsZVCOU,10/4/2021,ALLVRjoBbK1pqxJ27J,448,sBAIh7iDWZTqINIZy8,1/2/2022,yiFLQpzjS8s6cffXnV,448,f7aWZlWLr5zV2wAK7Y,10/20/2021,gPo6KEfxnIyouyLIo3,448,3CPQhPNTkwFyb4BfHr,448,"",448,"","",448,J8DpRTWzVselvVhIDR,TF9GEvWCUbp6psaWko,vkk8dmmrpPBdrWCr7Q,kdo1UgnM84fLGudkHv,byaKQxjL48wnMssIhu,1/15/2022,448,448,448,448,448,448,448,448,448,"","",""
449,449,89mOYxNiHO46uyOQI8,449,fApUEAH7Ul2QwniqMH,75sHjkxwXU1r3cXr3y,4/20/2022,449,3/31/2022,1/1/2022,6/10/2022,1/6/2022,449,449,449,449,449,449,449,449,"",449,n8qwBceG0DvpAoVEAz,449,raT1f3Yu65WUfDgNj5,449,6nqD5cccEmqS0ysdQW,1/16/2022,j7L4PfquhzOlIq3vdP,449,ZVlLZ3jZjCM8hw3B6i,4/6/2022,svDTBxFJrali4FNUa8,449,UGDJvLNWwOiqLLdEjW,3/1/2022,ORsW3cxrtlB5qePj4Z,449,6LogW452ZVdXUJYeXv,449,"",449,"","",449,bICAeeYdL8jFLUJ3FN,SESaJfNxZJiry6AAc1,vEdpzIBpPVeICULoj1,EhM7YjJY8B28wJbvQr,0OfxB8Fgv4XxJsjWvq,9/6/2021,449,449,449,449,449,449,449,449,449,"","",""
450,450,Nw1bShqDKu7pzdEwGd,450,7EjqQt6pHgEQtVdYi7,OLGYCHvtzG8RBbmTLW,5/6/2022,450,4/26/2022,6/29/2022,2/19/2022,7/19/2021,450,450,450,450,450,450,450,450,"",450,lIbML23cXNW3pNX2yJ,450,o0AlSpcwYNuxMaM7HK,450,e1oWtpiH4vvqIvJ9Hq,8/1/2021,TtvTPYS6UFn6RAwWEa,450,lrEUrn3yfHpMTTQ6Vu,9/9/2021,OFHuzuvZyKQuozfZ2f,450,I93T2DbKLiaZSCTUbE,10/22/2021,u2tgRJzYfI54Ft0zQF,450,Xs98RkZgTadNHfMzbl,450,"",450,"","",450,MWLFMhjaL8xaT9wv4Z,IwqdefGaBhKSslBNtg,1ty4zXa7nNSMMj1wOh,eyTkGQZQRMORuxUyXN,R7dI99vdGmETBPL8Fh,12/27/2021,450,450,450,450,450,450,450,450,450,"","",""
451,451,dYjowoorkNoVOpgblR,451,i8ULXVXqWIgCK5C2mu,Rmy272EdmppqpsHxiN,5/19/2022,451,3/20/2022,5/1/2022,6/28/2022,2/6/2022,451,451,451,451,451,451,451,451,"",451,f2vX67uTA2vGHPYDaq,451,x1UVi1hvzH4h9kIlSq,451,RymFtQVok6pnjBDMK7,3/22/2022,AKvzOLGsrDsX0tbFQm,451,uANBV4xBF9EWLWQbpg,2/9/2022,OQwu20WsPKaFTfeB4q,451,mE5eR7t1mnPUwskSPU,11/15/2021,T0ILxRda5yE7Q1ihhq,451,BnvCmbWjHcB4jxni8C,451,"",451,"","",451,4JiqgDyZIdYljyLYOm,Gtl4Cqxwv03CEJ402B,RZluTAwfwyOw2ITjuN,8eRjqaHGf3j2zFtq7h,CT4GCKcYzkAzprgbe9,7/26/2021,451,451,451,451,451,451,451,451,451,"","",""
